id;city;challenge_solution;title;question;theme;challenge_text_main;url;challenge_url
s-hertogenbosch01;'s Hertogenbosch;challenge;How do we reach Zero Food Wasted in Den Bosch?;How can we drastically reduce food waste in Den Bosch?;waste-management;We'll soon announce our challenges! We'll soon specify the challenges on this page. In the meantime: keep a close eye on our social media channels! ;https://climathon.climate-kic.org/en/challenges/waste-management/hoe-bereiken-we-zero-food-waste-in-den-bosch;
adelaide01;Adelaide;challenge;Circular Economy;How can we unlock the benefits of a circular economy in Adelaide?;circular-economy;Capturing the value of a circular economy approach in Adelaide will require keeping products, components and materials at their maximum utility and value. Do you have an idea that could be key to unlocking the benefits of a circular economy in Adelaide? Capturing the value of a circular economy approach in Adelaide will require keeping products, components and materials at their maximum utility and value. This means: designing ‘smart’ products that last longer and can be reused many times sharing things more and making repair the norm recycling materials effectively and converting some waste materials into biofuels displacing fossil fuels and derived products with bio-based materials This approach opens the door for entrepreneurs and innovators to transform the way we manage resources and think about waste. Consider the opportunities in reverse logistics, and in services and digital technologies that can help create a circular economy. ;https://climathon.climate-kic.org/en/challenges/circular-economy/adelaide-challenge;
alice-springs01;Alice Springs;challenge;Renewable energy;How to utilise the unique characteristics of Alice Springs to incorporate more renewable energy?;energy;" Situated in a hot, arid environment Alice Springs is particularly vulnerable to the effects of climate change. How can we identify opportunities for Alice Springs to reduce its energy consumption through innovative strategies and reduce our overall energy consumption? Alice Springs has a number of unique characteristics, which together, affect the town’s ability to incorporate more renewable energy and reduce consumption: Climate – it is hot in Alice Springs and air-conditioning requires significant energy. Demand peaks – there are two distinct times of the day – morning and evening – where demand is greatly increased. Transient population – according to the NT Planning Commission Alice Springs ‘a transient population has been a general long term trend for Alice Springs’. Isolation and a lack of scale – Alice Springs is a remote town with a small population situated in the centre of Australia. The economies of scale available in large Australian cities are not present in Alice Springs. Low daytime load demand – Alice Springs has recently experienced a new low daytime demand of 8MW. It is forecast that as early as 2023, the Alice Springs daytime load could reach 0MW. This has significant implications for grid stability and security. High level of community support – Alice Springs has a long history of iconic projects and renewable energy initiatives, including through the Alice Solar City program led by Alice Springs Town Council. Alice Springs’ annual renewable energy contribution is currently around 8%, which is higher than the Northern Territory average of 4%. What business or system-wide approaches can we implement to make it easier to reduce our costly reliance on traditional energy generation for Alice Springs as a whole? Potential areas that a Climathon project could tackle are: The split incentives for tenant/landlord solar systems, noting Alice Springs’ high number of residential renters and transient population; Strategies for shifting demand away from early morning/evening, reducing system peaks; Strategies for reducing low daytime demand periods. ";https://climathon.climate-kic.org/en/challenges/energy/how-can-we-utilise-the-unique-characteristics-of-alice-springs-to-incorporate-more-renewable-energy-while-reducing-our-overall-energy-consumption;
amersfoort01;Amersfoort;challenge;Young Climathon - Solar panels on big roofs;How can we find building owners to collaborate on putting solar panels on their roofs?;energy;Owners of monuments in the city centre of Amersfoort are not allowed to put solar panels on their roofs. The case in Amersfoort on which the students will be working, is that owners of monuments in the city centre of Amersfoort are not allowed to put solar panels on their roofs and are looking for a big roof in the neighbourhood for it. However, no owner of the buildings with a big roof is willing to collaborate. The students are asked why and what would be a solution. ;https://climathon.climate-kic.org/en/challenges/energy/young-climathon-solar-panels;
ancona01;Ancona;challenge;Better air to breathe;How can we help Ancona improve air quality?;air-pollution;Air pollution in Ancona requires innovative solutions for the reduction of contaminants and harmful emissions according to complexity of a Port City considering traffic towards the city, mobility in and out as well as the production of industrial activities. Air pollution is one of the main environmental and health threats of this era. According to a World Health Organization (WHO) assessment of the burden of disease due to air pollution, more than 2 million premature deaths each year can be attributed to the effects of urban outdoor air pollution and indoor air pollution (caused by the burning of solid fuels). WHO believes that reducing levels of one particular type of pollutant (known as PM10) could reduce deaths in polluted cities by as much as 15% every year. The Municipality of Ancona is part of the Italian Network of Healthy Cities promoted by the World Health Organization since 1996, with the adhesion to the aforementioned Network the Municipality of Ancona has decided to reaffirm its role and its commitment to the promotion and protection of health by adopting an inter-sectoral and inter-institutional policy capable of responding to the complexity of the needs that require a high degree of collaboration and integration between the different organizational levels at the local level. The proposed challenge requires 2 inter-connected and related sub-tasks: 1. Sustainable Urban Mobility in response to air pollution. Making urban mobility more sustainable means to reduce city gas emissions. Indeed being Ancona active in industrial, touristic and commercial assests and hosting the administrative offices of Marche region, the university facilities and the Regional Health Headquarters, the urban mobility of Ancona city is one the main problem for air quality. 2.  Developing integrated solutions for the City Port Ancona is hosting the regional industrial port. A project solution that involves the passenger seaport and freight/cargo area and the industrial area will help Ancona to organize its activities. ;https://climathon.climate-kic.org/en/challenges/air-pollution/air-emissions-reduction-in-the-adriatic-port-city-of-ancona;
ancona02;Ancona;solution;The innovative system of the Clean Air Towers;A system of Clean Air Towers machines through the city;air-pollution;"The aim of the project is to realize an integrated system of Clean Air Towers, by placing them in the most polluted areas of the city of Ancona, and to reduce the pollution of the air caused by anthropic activities. A system of Clean Air Towers machines through the city The aim of the project is to realize an integrated system of Clean Air Towers, by placing them in the most polluted areas of the city of Ancona, and to reduce the pollution of the air caused by anthropic activities. The level of air pollution in urban areas is increasing day by day: this happens due to cars and transportation movement, and to the daily commercial activities of the port of Ancona. The evidences that people are suffering more and more several health diseases caused by air pollutants are many: 9 people out 10 are exposed to higher levels of pollution that could tend to illnesses (OMS, 2018) and pollution causes every year 487000 premature deaths, of which 90000 in Italy (Proietti, 2018). Our aim is to reduce the impact of pollutants PM 10, PM 2.5, PM 1, and to contraste the phenomenon of global warming and the side-effect of Chloro Floro Carbons (CFC) on climate changing. By using a wind turbine and solar panels the machine will capture enough energy and will use it to rotate the inhaling suction fan blades into the collecting chamber. This allows the machine to receive pollutants from air in different ways. The first stage of the mechanism consists in filtering in a biological way the air suppurated in different chambers; the second stage is the operation of the machine which exploits the Bernoulli principle; it also helps to avoid to have a negative influence on the bird migration. We also make use of three layers filters to trap particulates such as PM 10 and PM 2.5 and with specific processes we use it to create materials such as asphalt. ";https://climathon.climate-kic.org/en/solutions/cat-clean-air-tower;https://climathon.climate-kic.org/en//en/challenges/air-pollution/air-emissions-reduction-in-the-adriatic-port-city-of-ancona
ancona03;Ancona;solution;Bus air-pollution-eater;Bus collecting and treating particulate matter ;air-pollution;Providing Ancona's trolleybuses of a particulate matters filter that clear the air during its trip, also allowing to analyse and monitor the collected pollutants. Bus collecting and treating particulate matter Providing Ancona's trolleybuses of a particulate matters filter that clear the air during its trip, also allowing to analyse and monitor the collected pollutants. Ancona is affected by high levels of air pollution due to vehicular emissions. We propose the installation of an electrostatic precipitator filter on the roof of Ancona's trolleybuses for the removal of partucilate matter. This filter is able to clean the air that passes through it during the bus's route, collecting particles with dimensions as small as 1µm. Moreover this device allows to monitor the quality of the air and see if there are improvements in time. To apply a screen that shows the results of the amount of particles removed can sensibilize the population to this problem and incourage them to use it as a means of transport. ;https://climathon.climate-kic.org/en/solutions/respirabus;https://climathon.climate-kic.org/en//en/challenges/air-pollution/air-emissions-reduction-in-the-adriatic-port-city-of-ancona
ancona04;Ancona;solution;Hybrid Solutions;Hybrid Solutions;air-pollution;"Possible solutions to reduce air pollution in Ancona Hybrid Solutions Possible solutions to reduce air pollution in Ancona The main pollutants are presented by SOX wich come from ships fossile fuels combustion. Fuels combustion could be avoided powering the ship with GNL (Liquified Natural Gas). GNL is produced out to a conversion from CO2, in this way we reduce the emission while converting into methane. An hybride ship would be powered by a solar panel in the portual area so that it wouldn't pollute when close to the city; pollutants emitted nearby the city represent on of the main source of pollution so this represent the first solution to the first problem. The hybrid ship would switch to methane powering source as soon as it leaves from the port. The methane would be produced from a conversion process that take CO2 emitted from industries. In this way we would solve fossil fuel combustion while converting CO2 into methane in a sustainable, scalable solution. ";https://climathon.climate-kic.org/en/solutions/hybrid-solutions;https://climathon.climate-kic.org/en//en/challenges/air-pollution/air-emissions-reduction-in-the-adriatic-port-city-of-ancona
ancona05;Ancona;solution;Cyclodextrins BTEX filters;Cyclodextrins BTEX filters;air-pollution;Development of tools for the filtration of gas emission of automotive, based on functionalized B-cyclodextrin for the removal of nanometric particles (BTEX). Cyclodextrins BTEX filters Development of tools for the filtration of gas emission of automotive, based on functionalized B-cyclodextrin for the removal of nanometric particles (BTEX). The main source of urbans pollution is determined by automotive’s gas exhausted because of the presence of BTEX (benzene, toluene, etilbenzene and xilen) and particulates. This kind of pollutants are toxic not only for the environment, but also for the human health (specially BTEX because of their nanosize). At the moment the real problem is that even if an automotive can respect new requirement of Euro (i.e. Euro 6 standards= 170 mg/km for total hydrocarbons HC+CO), the concentration of BTEX emitted is superior than the admitted value (especially if there are old transports that do not respect these new limits). Fabrication of filter to insert inside the muffler of automotive can be a solution that aspires to reduce the nano pollutants emitted by automotive exhausted gas Cyclodextrins (Cyds) are a type of molecule with a structure similar to a cone, to permits the bond with another molecule on the model of key-locks. This term describes a high specific bond between two similar molecules. The structure of Cyds makes the molecule a kind of pocket that can be selective and specific functionalized thanks to the presence of internal hydroxilic group, so for instance with a methylation it is possible to create an hydrophobic environment to bond molecules as BTEX. One of the main advantages of Cyds is that they can be easily synthetized from starch. Starch can be recovered from food waste, such as potatoes peel. So, this kind of material is a very low cost and widely available one. Moreover it could give a new value to a waste product. For the production of the filter, Electrospinning could be an attractive technology, also because it is a low cost solution. Since it is possible thanks to the electrospinning technique, to obtain a filter composed of nanofibers, these can be easily disposed as fillers for reinforced mortars. In this way, the impact of BTEX on human health is removed because it has been inerted. ;https://climathon.climate-kic.org/en/solutions/cyclodextrins-btex-filters;https://climathon.climate-kic.org/en//en/challenges/air-pollution/air-emissions-reduction-in-the-adriatic-port-city-of-ancona
ancona06;Ancona;solution;Empower Your Mobility;Improve your movement to reduce air pollution;air-pollution;"Our app is aimed at improving the movement within the city through benefits, for those using public transport. Improve your movement to reduce air pollution Our app is aimed at improving the movement within the city through benefits, for those using public transport. The city of Ancona suffers from important air pollution problems caused by the presence of the port that generates important congestion and traffic problems. This criticality is worsened by the features of local mobility, which is mostly private car oriented (at least 25,000 commuters reach the city every day, 70% of them using cars) decided to focus on local mobility since this the criticality which can be most easily affected by local public and private agents EYM aims to improve the mobility of students across city. Improving the bus, providing them with wi-fi; where the students' smartphones will be connected, recording the routes covered and the kilometres made, and providing a fixed rate of earnings based on the number of kilometres covered. In this way we want to reduce the number of students who do not buy tickets; increase the number of students who choose the bus compared to the car; limit the printing of paper tickets, thus helping to keep the city cleaner. In our idea there are also profits for those who come by train, in relation to the distance from their homes. We also propose the inclusion of totems that will inform people in real time about the quality of the air they are breathing and the benefits or problems that it entails. ";https://climathon.climate-kic.org/en/solutions/eym;https://climathon.climate-kic.org/en//en/challenges/air-pollution/air-emissions-reduction-in-the-adriatic-port-city-of-ancona
